Order,Color,MSD_P100_No_Reag.csv,MSD_P100_day2.csv,MSD_P100_day1.csv,P100_day2.csv,P100_day1.csv,MSD_P100_2.csv,MSD_P100_3.csv,P100_2.csv,P100_3.csv,P100_No_Reag.csv
4,Green,197.33333333333331,59.38095238095238,55.04761904761905,59.38095238095238,55.04761904761905,76.14285714285714,66.76190476190476,76.14285714285714,66.76190476190476,197.33333333333334
4,Red,338.6666666666667,56.04761904761905,50.23809523809524,56.04761904761905,50.23809523809524,80.14285714285714,73.52380952380952,80.14285714285714,73.52380952380952,338.6666666666667
4,White,821.6190476190476,135.0,120.42857142857144,135.0,120.42857142857143,183.47619047619048,168.61904761904762,183.47619047619048,168.61904761904762,821.6190476190476
5,Black,6.05,3.75,4.0,3.75,4.0,3.95,3.8,3.95,3.8,6.05
5,Blue,331.85,27.2,23.0,27.2,23.0,36.55,36.45,36.55,36.45,331.85
5,Green,198.0952380952381,59.71428571428572,55.19047619047619,59.714285714285715,55.19047619047619,75.61904761904762,66.42857142857143,75.61904761904762,66.42857142857143,198.0952380952381
5,Red,341.1904761904762,55.95238095238095,51.095238095238095,55.95238095238095,51.095238095238095,79.42857142857143,73.80952380952381,79.42857142857143,73.80952380952381,341.1904761904762
5,White,821.0952380952381,135.95238095238096,120.61904761904762,135.95238095238096,120.61904761904762,184.28571428571428,168.38095238095238,184.28571428571428,168.38095238095238,821.0952380952381
6,Black,6.15,3.7,3.95,3.7,3.95,4.15,3.8,4.15,3.8,6.15
6,Blue,331.55,27.15,22.6,27.15,22.6,36.25,36.25,36.25,36.25,331.55
6,Green,196.7142857142857,60.42857142857143,54.95238095238095,60.42857142857143,54.95238095238095,76.04761904761905,65.95238095238095,76.04761904761905,65.95238095238095,196.71428571428572
6,Red,340.5238095238095,55.095238095238095,51.095238095238095,55.095238095238095,51.095238095238095,80.52380952380952,73.85714285714286,80.52380952380952,73.85714285714286,340.5238095238095
6,White,822.047619047619,135.61904761904762,120.1904761904762,135.61904761904762,120.19047619047619,182.8095238095238,169.71428571428572,182.8095238095238,169.71428571428572,822.047619047619
7,Black,6.45,3.85,3.95,3.85,3.95,3.8,3.8,3.8,3.8,6.45
7,Blue,333.5,27.0,22.5,27.0,22.5,35.95,36.75,35.95,36.75,333.5
7,Green,197.66666666666663,59.66666666666666,55.23809523809524,59.666666666666664,55.23809523809524,75.85714285714286,66.28571428571429,75.85714285714286,66.28571428571429,197.66666666666666
7,Red,339.57142857142856,55.61904761904762,49.66666666666666,55.61904761904762,49.666666666666664,80.28571428571429,73.0,80.28571428571429,73.0,339.57142857142856
7,White,821.6666666666666,135.95238095238096,120.04761904761904,135.95238095238096,120.04761904761905,184.57142857142856,170.04761904761904,184.57142857142858,170.04761904761904,821.6666666666666
8,Black,5.95,3.95,3.85,3.95,3.85,4.25,3.9,4.25,3.9,5.95
8,Blue,332.65,26.95,22.5,26.95,22.5,36.45,36.6,36.45,36.6,332.65
8,Green,198.1904761904762,59.3,55.15,59.3,55.15,76.05,66.15,76.05,66.15,198.1904761904762
8,Red,341.6666666666667,56.19047619047619,49.80952380952381,56.19047619047619,49.80952380952381,80.66666666666667,73.42857142857143,80.66666666666667,73.42857142857143,341.6666666666667
8,White,821.7619047619048,134.9047619047619,120.33333333333331,134.9047619047619,120.33333333333333,183.7142857142857,168.71428571428572,183.71428571428572,168.71428571428572,821.7619047619048
9,Black,6.25,3.85,4.2,3.85,4.2,4.3,3.7,4.3,3.7,6.25
9,Blue,332.85,27.45,22.3,27.45,22.3,36.5,36.3,36.5,36.3,332.85
9,Green,197.7,59.45,54.8,59.45,54.8,75.9,66.35,75.9,66.35,197.7
9,Red,339.6666666666667,56.23809523809524,50.523809523809526,56.23809523809524,50.523809523809526,79.61904761904762,73.38095238095238,79.61904761904762,73.38095238095238,339.6666666666667
9,White,821.6190476190476,135.42857142857142,120.28571428571428,135.42857142857142,120.28571428571429,183.7142857142857,168.61904761904762,183.71428571428572,168.61904761904762,821.6190476190476
10,Black,6.1,3.9,3.9,3.9,3.9,4.05,3.9,4.05,3.9,6.1
10,Blue,331.45,27.15,22.7,27.15,22.7,36.05,36.6,36.05,36.6,331.45
10,Green,198.6,60.35,55.3,60.35,55.3,76.25,66.3,76.25,66.3,198.6
10,Red,339.7142857142857,55.61904761904762,50.23809523809524,55.61904761904762,50.23809523809524,80.14285714285714,74.14285714285714,80.14285714285714,74.14285714285714,339.7142857142857
10,White,821.0,134.47619047619048,121.14285714285714,134.47619047619048,121.14285714285714,184.0952380952381,168.66666666666666,184.0952380952381,168.66666666666666,821.0
11,Black,6.3,3.75,3.75,3.75,3.75,4.05,3.75,4.05,3.75,6.3
