Order,Color,P1000.csv,P1000_NRe.csv,P100_NRe.csv,P10_NRe.csv,P100.csv,P10.csv
1,White,20.667895508781353,4.640402281411965,4.2347766568418646,4.552864090720438,23.19154197218502,9.291573243177574
2,Black,0.5525062514530824,0.44721359549995804,1.0699237552766379,0.6863327411532597,0.4588314677411239,0.5871429486124
2,Blue,5.255573482654291,2.854359546562526,3.3229663349420053,2.1055482263138376,6.118135250823443,3.4530688105692726
2,Green,5.763183643984085,3.087609647175843,2.9984122782693094,2.833473385894322,6.437982529303655,2.3725402775129147
2,Red,8.690717543941435,2.959247008470719,3.3813212407775324,2.9423023055326603,10.367761387612862,4.041451884327374
2,White,20.394326942279122,2.8718668227512025,4.357806350731562,3.9448580154303445,23.963762324850087,7.439598043417334
3,Black,0.5871429486123997,0.8506963092234007,0.9514531821875089,0.8335087534664907,0.447213595499958,0.7451598203705945
3,Blue,4.871776937249466,3.133435981894566,3.9586680375574517,3.0705978943149437,5.825533632660886,4.031455268131766
3,Green,6.9316389871096895,2.600366274566865,2.400396792595915,2.700088181981506,5.29734884276132,3.105173950547365
3,Red,8.441394603804682,3.5301423146814837,3.209361307176253,3.370742464488316,9.40516575383671,4.42611298889625
3,White,19.410355606271217,3.528118343766119,3.3000721492834457,2.9912571015576392,22.26731535981231,8.169921605965312
4,Black,0.4442616583193193,0.6863327411532597,1.0894228312566052,0.6708203932499369,0.4893604849295928,0.882579950158088
4,Blue,4.684801855047088,2.2070461326349684,3.3576307436236066,3.053901732124603,6.276732304396344,3.4958622157600776
4,Green,6.645442405280839,2.1657507221460643,2.869378562220986,2.4289915602982246,4.928536921894391,2.0124611797498106
4,Red,8.52726718909909,4.28341208006176,3.0876096471758387,3.822863549001678,10.452841946662398,3.5543400700176835
4,White,20.123665291439952,3.470968027455597,4.620348368642675,3.150963571444688,23.03578995927032,8.751598493445421
5,Black,0.6569466853317862,0.7451598203705947,0.8870412083230169,0.7591546545162482,0.41039134083406165,0.6386663736585049
5,Blue,4.987088592714082,3.6404164018622045,3.4070360633316006,2.7236778540480096,6.492708460873224,3.8851945694012873
5,Green,6.674400276250967,3.433726283569528,3.192252526113224,2.8859264419890223,6.289446943662281,2.716421795012891
5,Red,8.741526509385295,2.7316487259354583,2.6195237662416417,2.9984122782693197,9.952984716249944,4.8181205582971565
5,White,19.841874911408947,4.610546915187271,3.7934781125605768,3.3897604916094357,23.094320060300937,8.506580086139486
6,Black,0.5104177855340404,0.5712405705774793,0.9880869341680844,0.7163503994113789,0.6155870112510924,0.6805570473787209
6,Blue,5.036707362219049,3.6778139960408107,3.4561158606310145,2.6237779110122483,6.188911986686143,3.3603727863375368
6,Green,6.87680712180269,2.6894857005259016,3.3785034725875014,2.4152294576982403,6.020599558816294,2.416500296753651
6,Red,7.771130946681845,3.1765509897491366,3.572380825430672,3.902990306589719,9.215669884960693,4.214487485081043
6,White,19.94217832109813,4.867286327151558,4.652700188881642,4.621378891320514,22.587923448477653,8.767092149732699
7,Black,0.5712405705774795,0.7863975156570492,1.1459310165698642,0.6155870112510925,0.5231483637805969,0.8255779474818968
7,Blue,5.0312183310543,3.2163234977385673,2.417044737516848,2.924938145994671,5.86582430156599,3.881128430590366
7,Green,6.205987891890032,2.798809270624443,2.1756225162774334,2.5994504913813676,5.7283754864957865,3.1472628040719437
7,Red,8.409178658720817,3.6259645678934977,2.9423023055326634,2.9260732666672524,9.148770409186145,4.455066671512235
7,White,19.351018184113858,3.61214881305007,4.139243087006767,4.581536444302951,22.643931174767772,7.086203900134797
8,Black,0.7591546545162483,0.6155870112510924,0.7591546545162481,0.8750939799154206,0.5525062514530825,0.6805570473787209
8,Blue,5.707566538330822,3.3086807674740464,2.0072237962970187,2.403396719119354,6.652265146470591,3.2589956476772066
8,Green,6.351977569829652,2.406340830072947,2.5420276870846186,2.803908836232875,5.575085555161314,2.8557421378504637
