Order,Color,P1000.csv,P1000_NRe.csv,P0.csv,P_soil.csv,P100_NRe.csv,P_emp.csv,P10_NRe.csv,P100.csv,P10.csv,P_urea.csv,P_water.csv
6,Green,6.87680712180269,2.6894857005259016,4.358898943540674,2.0,3.3785034725875014,3.0,2.4152294576982403,6.020599558816294,2.416500296753651,0.5773502691896278,4.358898943540674
6,Red,7.771130946681845,3.1765509897491366,0.577350269189634,2.516611478423585,3.572380825430672,1.5275252316519545,3.902990306589719,9.215669884960693,4.214487485081043,2.886751345948133,0.577350269189634
6,White,19.94217832109813,4.867286327151558,4.031128874149269,2.629955639676575,4.652700188881642,5.802298395176405,4.621378891320514,22.587923448477653,8.767092149732699,3.872983346207417,4.031128874149269
7,Black,0.5712405705774795,0.7863975156570492,0.5773502691896258,0.0,1.1459310165698642,0.0,0.6155870112510925,0.5231483637805969,0.8255779474818968,0.5773502691896257,0.5773502691896258
7,Blue,5.0312183310543,3.2163234977385673,2.6457513110645907,1.5275252316519499,2.417044737516848,2.3094010767585114,2.924938145994671,5.86582430156599,3.881128430590366,2.0,2.6457513110645907
7,Green,6.205987891890032,2.798809270624443,2.6457513110645907,1.7320508075688772,2.1756225162774334,4.163331998932268,2.5994504913813676,5.7283754864957865,3.1472628040719437,3.0550504633038926,2.6457513110645907
7,Red,8.409178658720817,3.6259645678934977,2.886751345948133,5.5075705472861,2.9423023055326634,3.4641016151377544,2.9260732666672524,9.148770409186145,4.455066671512235,2.0816659994661384,2.886751345948133
7,White,19.351018184113858,3.61214881305007,2.160246899469287,6.137317546507315,4.139243087006767,0.9574271077563381,4.581536444302951,22.643931174767772,7.086203900134797,4.546060565661967,2.160246899469287
8,Black,0.7591546545162483,0.6155870112510924,1.1547005383792515,1.0,0.7591546545162481,0.5773502691896257,0.8750939799154206,0.5525062514530825,0.6805570473787209,1.0,1.1547005383792515
8,Blue,5.707566538330822,3.3086807674740464,2.5166114784235765,1.1547005383792495,2.0072237962970187,4.358898943540674,2.403396719119354,6.652265146470591,3.2589956476772066,2.0816659994661246,2.5166114784235765
8,Green,6.351977569829652,2.406340830072947,1.7320508075688772,1.5275252316519452,2.5420276870846186,2.08166599946613,2.803908836232875,5.575085555161314,2.8557421378504637,3.4641016151377544,1.7320508075688772
8,Red,7.94115260915597,3.4441116070628093,3.5118845842842537,2.6457513110645907,2.6520432374554788,2.309401076758499,2.635833653252615,9.52665433702424,4.316082880178678,1.5275252316519405,3.5118845842842537
8,White,19.249984539264045,4.632699511289792,2.8722813232690143,5.737304826019507,3.5200108224941866,4.573474244670748,3.3259441910387886,21.8818254657669,7.453985830540938,5.852349955359813,2.8722813232690143
9,Black,0.6048053188292992,0.7863975156570493,1.0,0.0,1.1641577031891932,0.5773502691896257,1.050062654772261,0.47016234598162726,0.6863327411532597,1.1547005383792517,1.0
9,Blue,5.467607963461288,3.0192365713345866,2.886751345948133,2.309401076758505,3.133435981894569,1.5275252316519452,4.03765174067148,6.156725035105489,3.2682684937698188,1.1547005383792432,2.886751345948133
9,Green,6.510796893658731,2.964873722517739,2.886751345948127,3.605551275463989,2.7548999408709065,2.6457513110645907,2.635833653252618,5.668704483946569,2.258900524358557,2.0816659994661317,2.886751345948127
9,Red,8.280211637506898,4.238148742305379,2.0,0.5773502691896247,3.6101708177499567,1.0,3.492849839314615,8.823129776197275,3.722518348798682,2.309401076758499,2.0
9,White,18.8104580840907,4.314427623020878,4.123105625617649,4.242640687119277,4.295069155161423,4.654746681256314,4.426112988896261,21.4393940923623,8.174874398336115,3.3040379335998336,4.123105625617649
10,Black,0.6407232755171873,0.6155870112510925,0.0,0.5773502691896258,1.2096106376585989,0.5773502691896257,0.8255779474818965,0.5525062514530825,0.629152869605896,0.5773502691896257,0.0
10,Blue,4.5799908067018755,2.26878126337745,3.2145502536643153,2.5166114784235867,2.7810448623342494,1.0,3.013565819319092,5.641948151779523,3.690209622612723,5.686240703077333,3.2145502536643153
10,Green,6.246141666203689,2.5671922776598173,3.4641016151377544,2.081665999466131,2.521486612465376,1.7320508075688772,2.256208365926379,4.791439735282288,3.156342820417332,5.5677643628300215,3.4641016151377544
10,Red,8.164674198148075,3.207877209382584,4.163331998932273,4.58257569495584,2.795404391905695,1.5275252316519452,3.1060616619151413,9.188502131934861,3.4616951531487157,0.0,4.163331998932273
10,White,19.035805860585576,3.3058389901160434,6.130524719249855,5.560275772537426,3.633180424916972,4.43471156521669,3.868062145558784,22.394939904660017,6.668070027731927,4.96655480858378,6.130524719249855
11,Black,0.44426165831931935,0.7880689256524124,1.5275252316519465,0.0,0.9787209698591858,1.0,0.6863327411532597,0.5501196042201808,,1.0,1.5275252316519465
11,Blue,5.146281232726768,2.6675437154213912,1.5275252316519405,3.605551275463989,2.494203807145474,1.0,2.211810403980842,5.556172480366226,,2.5166114784235822,1.5275252316519405
