No.,Order,Color,Value
No.,Order,Color,Value
No.,Order,Color,Value
Phosphorus_concentrate 100 mg/L not Reagent,,,
451,11.0,White,818.0
452,12.0,White,822.0
453,13.0,White,821.0
454,14.0,White,821.0
455,15.0,White,818.0
456,1.0,Red,821.0
457,2.0,Red,341.0
458,3.0,Red,335.0
459,4.0,Red,339.0
460,5.0,Red,336.0
461,6.0,Red,340.0
462,7.0,Red,338.0
463,8.0,Red,345.0
464,9.0,Red,345.0
465,10.0,Red,340.0
466,11.0,Red,343.0
467,12.0,Red,334.0
468,13.0,Red,338.0
469,14.0,Red,339.0
470,15.0,Red,341.0
471,1.0,Green,335.0
472,2.0,Green,197.0
473,3.0,Green,193.0
474,4.0,Green,198.0
475,5.0,Green,194.0
476,6.0,Green,199.0
477,7.0,Green,195.0
478,8.0,Green,194.0
479,9.0,Green,197.0
480,10.0,Green,197.0
481,11.0,Green,200.0
482,12.0,Green,197.0
483,13.0,Green,196.0
484,14.0,Green,198.0
485,1.0,Blue,200.0
486,2.0,Blue,332.0
487,3.0,Blue,332.0
488,4.0,Blue,327.0
489,5.0,Blue,333.0
490,6.0,Blue,337.0
491,7.0,Blue,331.0
492,8.0,Blue,336.0
493,9.0,Blue,333.0
494,10.0,Blue,336.0
495,11.0,Blue,334.0
496,12.0,Blue,329.0
497,13.0,Blue,337.0
498,14.0,Blue,332.0
499,15.0,Blue,325.0
500,1.0,Black,330.0
501,2.0,Black,6.0
502,3.0,Black,6.0
503,4.0,Black,5.0
504,5.0,Black,5.0
505,6.0,Black,7.0
506,7.0,Black,7.0
507,8.0,Black,8.0
508,9.0,Black,6.0
509,10.0,Black,8.0
510,11.0,Black,7.0
511,12.0,Black,8.0
512,13.0,Black,5.0
513,14.0,Black,5.0
514,15.0,Black,5.0
515,0.0,Black,6.0
516,0.0,Black,5.0
517,0.0,Black,7.0
518,0.0,Black,7.0
519,0.0,Black,7.0
520,0.0,Black,7.0
521,0.0,Black,7.0
522,0.0,Black,8.0
523,0.0,Black,7.0
524,0.0,Black,7.0
525,0.0,Black,6.0
526,0.0,Black,8.0
527,0.0,Black,7.0
528,0.0,Black,7.0
529,1.0,White,7.0
530,2.0,White,820.0
531,3.0,White,824.0
