Order,Color,Soil_2.csv,Soil_3.csv,Soil_1.csv,Soil_0.csv,Empty_0.csv,Empty_1.csv,Urea_5.csv,Urea_4.csv,Urea_3.csv,Urea_2.csv,Urea_1.csv,Water_1.csv,Water_0.csv
23,White,18.90326250501044,4.725815626252601,,,1.4142135623730951,1.154700538379268,11.313708498984761,1.4142135623730951,2.8867513459481207,5.131601439446868,5.0332229568471645,6.027713773341723,3.214550253664302
24,Black,1.1547005383792517,0.5773502691896257,,,,0.0,,,0.5773502691896258,0.0,0.0,0.5773502691896257,1.5275252316519468
24,Blue,3.511884584284246,1.5275252316519428,,,,0.5773502691896216,,,1.5275252316519452,4.0414518843273886,2.0816659994661384,3.0550504633038855,1.1547005383792557
24,Green,2.0,4.725815626252606,,,4.242640687119285,1.5275252316519499,8.48528137423857,1.4142135623730951,4.509249752822894,0.0,1.5275252316519474,1.0,0.0
24,Red,6.0,2.6457513110645907,,,4.242640687119285,6.0277137733417145,2.8284271247461903,1.4142135623730951,2.6457513110645907,1.0,4.0414518843273814,1.0,2.309401076758499
24,White,14.364307617610168,9.073771725877458,,,6.363961030678928,3.5118845842842474,6.363961030678928,4.949747468305833,2.6457513110645907,2.0816659994661215,6.658328118479377,3.605551275463989,4.0
25,Black,0.5773502691896257,0.5773502691896257,,,,0.5773502691896258,,,1.5275252316519465,1.1547005383792517,0.5773502691896257,1.0,1.0
25,Blue,5.0332229568471645,1.5275252316519428,,,,1.5275252316519405,,,1.1547005383792557,5.0,3.055050463303895,2.309401076758499,6.082762530298219
25,Green,2.6457513110645907,2.081665999466131,,,0.0,2.0,0.7071067811865476,1.4142135623730951,0.5773502691896216,3.21455025366432,4.041451884327377,1.0,3.605551275463989
25,Red,1.5275252316519452,2.516611478423585,,,4.949747468305833,3.0,0.7071067811865476,0.0,2.6457513110645907,1.5275252316519452,2.309401076758499,2.0,3.214550253664313
25,White,15.588457268119896,6.110100926607794,,,5.656854249492381,4.358898943540674,7.0710678118654755,3.5355339059327378,2.6457513110645907,2.081665999466128,1.1547005383792432,1.7320508075688772,2.0
26,Black,0.5773502691896258,0.5773502691896257,,,,0.0,,,0.0,1.0,1.0,1.0,1.0
26,Blue,0.0,2.0,,,,2.6457513110645907,,,0.5773502691896216,2.6457513110645907,0.577350269189634,1.1547005383792557,0.5773502691896216
26,Green,1.7320508075688772,3.4641016151377544,,,5.656854249492381,4.358898943540674,0.7071067811865476,4.242640687119285,3.5118845842842425,5.1316014394468805,2.0816659994661317,1.0,1.1547005383792495
26,Red,5.291502622129181,2.0,,,2.8284271247461903,1.1547005383792432,3.5355339059327378,6.363961030678928,1.1547005383792557,1.7320508075688772,1.5275252316519405,5.291502622129181,2.0
26,White,14.843629385474886,5.196152422706632,,,1.4142135623730951,1.5275252316519499,10.606601717798213,0.7071067811865476,1.5275252316519312,1.5275252316519312,5.0,3.605551275463989,3.5118845842842474
27,Black,1.0,0.5773502691896257,,,,0.5773502691896257,,,1.0,0.5773502691896257,0.5773502691896257,0.5773502691896258,1.0
27,Blue,3.0550504633038935,4.9328828623162435,,,,3.0,,,1.0,2.0816659994661384,5.5677643628300215,5.291502622129181,0.577350269189634
27,Green,0.5773502691896247,3.2145502536643176,,,0.7071067811865476,1.5275252316519428,0.0,0.7071067811865476,4.0,0.5773502691896216,2.08166599946613,0.5773502691896216,1.5275252316519499
27,Red,4.358898943540674,2.6457513110645907,,,0.0,0.5773502691896216,2.8284271247461903,3.5355339059327378,2.6457513110645907,2.5166114784235765,2.0,1.5275252316519545,4.61880215351701
27,White,20.98412098071618,2.081665999466135,,,2.8284271247461903,6.3508529610858755,2.8284271247461903,0.7071067811865476,5.507570547286118,2.6457513110645907,3.214550253664302,4.932882862316231,3.055050463303881
28,Black,0.0,0.5773502691896257,,,,0.5773502691896257,,,1.1547005383792517,1.7320508075688772,0.5773502691896257,0.0,0.0
28,Blue,4.509249752822896,2.6457513110645907,,,,2.6457513110645907,,,1.1547005383792557,4.58257569495584,4.58257569495584,1.7320508075688772,1.0
28,Green,3.605551275463989,2.0816659994661335,,,1.4142135623730951,3.0,0.7071067811865476,0.7071067811865476,1.7320508075688772,3.605551275463989,3.7859388972001864,2.0,3.214550253664321
28,Red,4.0,3.2145502536643202,,,0.7071067811865476,4.358898943540674,0.0,4.949747468305833,5.196152422706632,1.5275252316519405,3.0550504633038855,1.1547005383792432,2.5166114784235765
28,White,16.62327685305557,2.5166114784235822,,,4.242640687119285,5.131601439446868,2.1213203435596424,3.5355339059327378,4.0414518843273886,1.1547005383792432,6.3508529610858995,7.0,2.081665999466128
