Order,Color,P10_O7.csv,P10_O6.csv,P10_O4.csv,P10_n.csv,P10_O5.csv,P10_O1.csv,P10_O2.csv,P10_O3.csv,P10_No_Reag.csv
11,White,,,,395.6190476190476,,,,,793.8095238095239
12,Black,,,,4.45,,,,,4.95
12,Blue,,,,116.3,,,,,326.8
12,Green,,,,127.47619047619048,,,,,189.28571428571428
12,Red,,,,167.04761904761904,,,,,322.14285714285717
12,White,,,,395.8095238095238,,,,,794.952380952381
13,Black,,,,4.25,,,,,5.65
13,Blue,,,,116.25,,,,,325.75
13,Green,,,,127.23809523809524,,,,,189.42857142857142
13,Red,,,,166.8095238095238,,,,,321.23809523809524
13,White,,,,397.0,,,,,794.1904761904761
14,Black,,,,4.3,,,,,5.25
14,Blue,,,,115.2,,,,,325.75
14,Green,,,,127.0952380952381,,,,,189.33333333333334
14,Red,,,,167.04761904761904,,,,,320.1904761904762
14,White,,,,395.5238095238095,,,,,792.8571428571429
15,Black,,,,4.333333333333333,,,,,4.833333333333333
15,Blue,,,,117.16666666666667,,,,,325.0
15,Green,,,,126.14285714285714,,,,,189.5
15,Red,,,,167.41666666666666,,,,,319.6923076923077
15,White,,,,394.1666666666667,,,,,795.7692307692307
Order,Color,P10_O7.csv,P10_O6.csv,P10_O4.csv,P10_n.csv,P10_O5.csv,P10_O1.csv,P10_O2.csv,P10_O3.csv,P10_No_Reag.csv
1,Black,0.7591546545162482,0.45883146774112354,0.47016234598162726,0.4442616583193192,0.5871429486123999,0.7071067811865476,0.5871429486123998,0.4893604849295931,0.8750939799154206
1,Blue,3.6974386582577625,6.5814731993440665,4.005259699839438,9.502130087010816,2.4553914898486227,1.4142135623730951,11.623365759492701,2.341839133312914,3.2696293659184374
1,Green,3.561120462350072,4.321305845520109,4.972291645763174,5.5997448921484745,3.4777488181444767,1.4142135623730951,12.219484010124331,2.6729640555206235,3.17205056105743
1,Red,4.466275746930435,6.8382676725838065,7.68703299007336,8.98517297180935,3.973723215131655,6.0,28.52117008218882,2.780030832305899,3.6942684049239136
1,White,9.291573243177574,17.389378257731824,17.023233423485575,23.30511899623282,8.201335547452311,9.16515138991168,66.45675285477014,7.489357528551842,4.650693213750049
2,Black,0.5871429486124,0.5619514869490163,0.5871429486123998,0.6805570473787205,0.6708203932499369,0.7071067811865476,0.6155870112510924,0.6155870112510925,0.6863327411532597
2,Blue,3.4530688105692726,7.087980931422611,4.718106221333878,9.48858963878897,3.0170567742333487,3.5355339059327378,11.834272263219232,2.1398475105532744,2.1055482263138376
2,Green,2.3725402775129147,4.024922359499624,4.834089475033706,5.180090089306673,2.316985337163697,1.4142135623730951,12.939027052009422,3.3541019662496856,2.833473385894322
2,Red,4.041451884327374,7.643858412383856,6.888223214125615,8.778219800001748,3.944858015430306,3.605551275463989,27.256716079318345,3.4873922581070183,2.9423023055326603
2,White,7.439598043417334,18.04293820439508,17.418107709808083,21.946037715919704,8.579876788992124,12.055427546683413,75.01199904015355,6.685093581280377,3.9448580154303445
3,Black,0.7451598203705945,0.5619514869490163,0.5525062514530825,0.827170191868511,0.5525062514530825,0.7071067811865476,0.489360484929593,0.6155870112510925,0.8335087534664907
3,Blue,4.031455268131766,5.912520167986071,4.74923816605303,8.189209845567328,2.623777911012244,4.949747468305833,11.269310911544357,1.7312909694943346,3.0705978943149437
3,Green,3.105173950547365,3.8784153030790662,5.359448125556058,4.421268940883251,3.1768074010172374,1.4142135623730951,11.914056271568683,2.7644357947251876,2.700088181981506
3,Red,4.42611298889625,7.154752000627009,7.265705484705267,9.0461778300746,4.194100164573588,3.5118845842842448,25.565415627180332,3.7212389129991443,3.370742464488316
3,White,8.169921605965312,17.54680814822106,17.45606730378538,22.399936224398992,8.808545634239302,6.110100926607783,74.16769929725217,6.844532054685626,2.9912571015576392
4,Black,0.882579950158088,0.5619514869490164,0.523148363780597,0.5871429486123998,0.48936048492959294,0.0,0.6882472016116851,0.6569466853317862,0.6708203932499369
4,Blue,3.4958622157600776,6.9811777018826255,4.696022953409337,8.929401465177595,2.5731406163633843,2.8284271247461903,11.631513455400286,1.59274671723509,3.053901732124603
4,Green,2.0124611797498106,3.6602415796027223,4.8677239899264295,5.850925852660686,2.2912878474779186,0.7071067811865476,11.702001628151619,2.390221306644395,2.4289915602982246
4,Red,3.5543400700176835,6.747486304437481,7.015289424840982,8.357488800328674,4.100522614775551,2.88675134594813,25.336967157927656,2.856904751983305,3.822863549001678
