Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
7,Red,3.304037933599836,7.22841614740048,3.8622100754188207,1.2909944487358056,2.160246899469287,1.914854215512676,2.3804761428476207,2.380476142847611,3.651483716701115,2.217355782608345,2.8722813232690134,2.217355782608345,1.7078251276599343,4.242640687119277,3.1622776601683777,1.9148542155126735,5.80229839517641,2.217355782608345,1.8929694486000972,4.08248290463863
7,White,3.559026084010437,13.07669683062203,6.130524719249841,2.3804761428476167,4.725815626252614,2.217355782608345,2.943920288775949,2.0615528128088325,15.435349040433117,2.645751311064598,4.320493798938582,1.2909944487358056,2.943920288775949,2.160246899469287,1.707825127659933,3.109126351029617,21.322914122292637,2.0615528128088303,2.8722813232690143,3.4034296427770188
8,Black,0.4999999999999999,0.5773502691896257,0.4999999999999999,0.816496580927726,0.5773502691896258,0.5773502691896257,0.5,0.5773502691896258,0.5,0.957427107756338,0.5,0.5773502691896257,0.816496580927726,0.5,0.4999999999999999,0.0,0.5773502691896258,0.0,0.5,0.5
8,Blue,5.477225575051661,7.874007874011808,2.500000000000004,2.0615528128088303,1.5000000000000009,1.707825127659933,0.9574271077563404,1.2909944487358056,1.7078251276599288,3.304037933599832,2.0816659994661326,3.4034296427770254,3.162277660168381,3.316624790355404,3.1622776601683764,3.741657386773941,5.123475382979796,2.6299556396765897,3.304037933599832,3.304037933599835
8,Green,7.895146188218015,3.559026084010441,7.767453465154023,3.162277660168381,5.196152422706636,0.816496580927726,1.2583057392117898,1.9148542155126735,11.67618659209132,2.6457513110645943,2.943920288775949,7.455423082115011,2.3804761428476167,3.872983346207417,5.315072906367329,5.737304826019502,13.961255912942311,3.415650255319862,7.719024117939603,2.217355782608345
8,Red,3.0000000000000013,0.9999999999999952,2.500000000000005,3.0956959368344448,1.892969448600095,2.3804761428476207,3.6514837167011,2.6457513110645907,2.4494897427831703,2.449489742783186,3.46410161513776,0.8164965809277203,1.7320508075688772,3.1091263510296003,3.559026084010429,4.1231056256176615,1.258305739211786,2.0000000000000044,1.7320508075688827,3.464101615137752
8,White,4.546060565661942,11.086778913041712,4.991659710623994,0.4999999999999905,8.524474568362947,2.4494897427831743,2.6457513110645943,2.061552812808828,10.781929326423928,2.6299556396765924,3.415650255319866,3.915780041490229,1.707825127659947,4.932882862316245,3.095695936834444,3.774917217635375,21.486429825977748,2.9439202887759617,2.943920288775949,3.3665016461206814
9,Black,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.5,0.4999999999999999,0.5,0.957427107756338,0.0,0.4999999999999999,0.5773502691896257,0.0,0.4999999999999999,0.5,0.5773502691896257,0.5,0.0,0.5
9,Blue,3.3665016461206885,5.354126134736337,1.4142135623730951,2.160246899469287,2.7537852736430524,3.415650255319873,3.1091263510296048,1.290994448735802,3.593976442141301,2.7080128015453173,2.6299556396765835,0.8164965809277289,4.0414518843273886,3.304037933599835,0.957427107756338,2.081665999466135,6.18465843842649,2.6299556396765835,3.2015621187164203,2.3804761428476167
9,Green,2.629955639676581,5.619905100029129,9.678154093971983,3.862210075418827,5.972157622389639,4.64578662158878,2.8722813232690103,1.8929694486000876,11.902380714238085,1.258305739211786,1.4142135623730985,8.981462390204987,4.573474244670748,4.991659710623987,2.217355782608345,1.9148542155126735,16.29928423786353,1.2583057392117898,4.5092497528229005,5.802298395176403
9,Red,2.8284271247461867,2.500000000000005,4.99165971062398,4.031128874149278,5.123475382979804,2.645751311064589,3.2015621187164243,1.914854215512676,3.403429642777018,2.0615528128088294,3.316624790355407,2.217355782608345,0.8164965809277203,2.449489742783178,2.499999999999999,4.546060565661952,4.031128874149268,1.632993161855452,2.87228132326902,1.7078251276599343
9,White,3.8622100754188224,15.777093099385164,3.593976442141304,4.573474244670748,3.5000000000000013,2.645751311064587,2.160246899469287,2.7080128015453098,12.06579186515886,3.774917217635361,2.6457513110645765,3.109126351029614,3.3665016461207014,2.217355782608345,4.08248290463863,3.3166247903554056,22.66237704507923,4.716990566028297,3.774917217635375,4.760952285695222
10,Black,0.4999999999999999,0.4999999999999999,0.5773502691896258,0.0,0.4999999999999999,0.4999999999999999,0.0,0.5773502691896258,0.5,0.5,0.0,0.5,0.5773502691896257,0.0,1.0,0.5,0.5773502691896257,0.0,0.0,0.0
