Order,Color,N2_NoR,N10_NoR,N20_W,N2_W,N60_W,N8_NoR,N4_W,N60_NoR,N40_W,N80_W,N6_W,N10_W,N8_W,N20_NoR,N4_NoR,N80_NoR,N40_NoR,N6_NoR,N100_NoR,N100_W
11,White,940.75,890.5,847.75,942.25,810.75,939.25,942.75,953.75,912.0,822.75,948.75,762.75,942.0,853.0,926.75,812.5,899.5,930.0,856.0,952.25
12,Black,5.0,3.5,4.5,4.75,4.25,3.25,4.75,4.25,4.0,5.0,3.75,3.5,3.5,4.25,4.5,4.5,4.5,3.75,4.5,4.0
12,Blue,262.0,238.0,230.5,271.0,216.75,263.25,287.0,283.5,269.75,220.75,297.0,191.75,271.0,228.25,273.0,225.5,263.5,274.5,239.75,286.75
12,Green,431.25,378.0,346.25,425.25,334.25,413.25,413.0,442.75,368.5,353.75,414.0,297.25,419.5,352.0,398.0,335.5,374.25,385.75,356.0,435.0
12,Red,329.75,316.0,321.75,335.5,309.5,334.75,334.0,361.0,331.25,300.75,335.0,309.0,339.0,321.75,328.5,300.75,324.25,336.0,315.75,343.0
12,White,942.75,887.25,847.5,944.5,816.5,937.5,943.25,954.0,912.75,824.75,948.5,761.5,943.25,847.75,930.75,814.75,899.0,929.75,855.25,950.5
13,Black,5.0,3.25,4.25,5.25,4.0,3.5,4.5,4.25,4.75,4.75,4.0,3.5,3.75,4.75,4.0,4.75,4.0,4.0,4.25,4.75
13,Blue,263.0,240.25,227.75,269.0,216.25,262.25,286.25,283.25,269.75,223.5,297.75,194.5,271.75,226.25,271.75,222.5,264.75,275.25,234.5,285.5
13,Green,429.0,381.5,347.0,425.25,334.75,411.25,416.75,443.25,367.25,353.5,415.0,295.25,418.0,352.25,398.0,335.5,373.75,385.5,353.75,433.75
13,Red,328.25,318.0,320.75,335.25,310.0,336.0,330.75,356.5,332.75,301.25,336.25,311.25,338.25,321.5,328.0,300.75,324.0,335.5,314.25,339.75
13,White,941.25,889.25,841.0,943.25,821.0,939.75,946.0,953.0,907.5,825.0,951.0,763.0,941.5,851.75,929.75,812.25,897.0,926.5,848.5,949.25
14,Black,4.75,3.5,4.25,5.0,4.25,3.0,4.0,4.5,4.5,4.75,4.5,3.25,3.75,4.25,4.75,4.25,4.0,4.25,4.25,4.0
14,Blue,265.0,240.5,226.75,270.75,218.5,263.25,286.75,283.0,270.25,222.25,299.75,192.25,269.25,225.5,270.0,224.25,261.25,273.0,235.25,283.75
14,Green,426.0,382.0,347.5,424.0,333.25,412.5,414.75,448.75,371.25,355.25,415.5,291.5,418.0,352.25,399.0,333.5,373.5,386.25,353.0,433.0
14,Red,327.0,315.25,321.5,334.5,308.75,335.25,332.0,359.0,331.75,299.5,338.25,305.5,337.75,323.25,327.25,299.25,325.5,337.5,317.75,342.75
14,White,940.5,890.0,843.25,943.75,816.25,936.5,947.0,951.25,907.75,826.0,948.0,762.75,938.25,852.0,925.75,817.0,902.5,928.75,853.0,947.0
15,Black,5.0,3.25,4.5,5.25,4.25,3.0,4.25,4.75,4.25,4.75,4.75,3.25,3.25,4.25,4.0,4.5,4.5,3.5,4.5,4.0
