Order,Color,P4_R,P60_R,P80_W,P40_W,P40_A,P2_B,P80_WR,P80_A,P100_blank,BG_rbru0,P2_W,P2_A,BG_rbru1,P4_blank,P6_R,P10_WR,P6_A,P10_NoR,P2_R,P6_W,P4_B,P2_blank,P80_R,P4_W,P60_W,P6_B,P2_NoR,P40_R,P80_blank,P60_A,P4_A,P60_NoR,P20_WR,P8_blank,P20_blank,P20_A,P100_WR,P20_W,P20_R,P8_NoR,P60_WR,P80_NoR,P40_blank,P20_NoR,P6_blank,P4_NoR,P2_WR,BG_1,BG_0,P10_blank,P8_WR,P10_R,P8_A,P60_blank,P4_WR,P8_W,P8_B,P100_A,P100_W,P40_WR,P100_R,P10_B,P100_NoR,P6_WR,P40_NoR,P10_W,P6_NoR,P8_R,P10_A
12,Green,141.75,121.75,535.5,351.75,85.25,160.33333333333334,453.25,51.5,328.5,370.0,376.0,156.5,378.75,281.5,163.5,362.5,94.5,425.5,184.0,457.5,84.0,297.75,92.0,326.5,393.5,63.75,385.25,149.5,365.5,79.5,91.0,450.5,409.5,335.5,306.5,78.5,444.5,441.0,123.25,376.75,346.5,389.75,326.25,448.75,345.25,362.5,323.25,371.0,369.75,312.5,355.0,117.75,68.0,327.0,327.75,387.25,43.75,51.5,462.5,319.25,82.25,42.75,388.75,421.0,443.25,376.25,413.5,113.25,63.25
12,Red,77.0,54.5,355.75,286.0,30.75,89.66666666666667,308.0,24.25,290.5,302.0,314.0,97.75,306.5,253.75,98.75,314.5,38.25,368.75,125.25,364.5,35.25,248.75,43.5,296.0,317.5,25.5,316.0,68.25,281.0,32.0,45.5,345.0,310.5,286.25,272.25,31.25,329.0,326.0,66.0,326.25,288.0,320.0,276.75,332.0,285.5,310.5,261.5,312.0,310.5,293.75,311.0,68.0,29.0,276.25,260.0,336.0,20.25,21.5,319.25,270.0,35.75,17.25,322.0,322.5,326.5,344.0,333.5,69.75,29.75
12,White,357.0,303.25,965.0,840.25,198.5,368.6666666666667,949.5,132.25,810.25,859.0,897.5,381.5,870.0,677.0,421.5,872.0,206.25,948.0,464.25,954.5,193.25,709.75,233.75,793.5,914.0,152.0,895.5,363.5,832.75,192.0,207.0,952.0,917.25,785.0,737.5,189.25,953.5,948.25,308.25,877.0,822.0,918.5,786.25,952.25,802.0,865.5,776.75,864.75,865.25,773.25,853.5,328.25,151.5,777.0,766.75,905.5,109.5,131.75,954.0,795.75,208.25,106.5,923.75,932.0,948.75,905.0,937.75,329.0,150.0
13,Black,5.75,5.5,5.5,6.75,6.25,9.0,5.75,5.5,7.25,5.0,7.25,12.25,5.0,7.25,11.75,12.5,13.75,16.0,7.5,22.75,6.5,7.0,5.25,6.75,6.5,6.75,8.75,4.0,7.0,6.25,11.5,8.25,8.25,17.0,5.75,6.0,5.0,8.75,5.5,14.5,5.25,6.5,7.25,7.25,16.0,7.5,7.25,5.0,5.75,14.75,15.0,10.75,12.25,7.25,7.5,15.5,6.0,5.0,7.25,5.75,5.0,5.0,7.25,16.0,7.0,14.5,17.5,11.0,10.0
13,Blue,130.25,128.25,332.25,270.75,97.0,147.66666666666666,295.75,70.5,242.0,239.25,272.25,156.75,241.0,186.25,147.5,266.0,106.0,292.5,154.5,307.5,88.25,202.0,102.75,222.0,286.75,83.0,264.75,142.25,237.5,94.0,98.5,308.5,264.0,235.75,196.0,89.5,309.5,285.75,124.25,269.5,243.25,277.75,230.25,294.0,239.25,250.0,226.5,240.0,239.5,233.5,259.5,107.25,83.75,217.25,222.0,280.25,55.75,69.75,318.25,251.75,92.5,57.25,294.0,281.75,291.5,273.25,303.5,106.25,79.0
13,Green,146.0,121.0,535.25,351.75,85.5,157.66666666666666,454.5,52.25,330.75,367.0,372.0,157.75,374.0,284.5,162.75,364.5,90.5,426.25,182.25,453.0,86.25,301.25,90.5,327.25,394.25,64.75,386.0,149.25,360.75,80.25,93.75,450.25,409.5,336.5,306.0,80.75,440.0,439.25,121.75,373.5,343.75,388.75,331.0,453.25,347.0,361.0,329.75,371.5,372.75,312.75,358.25,118.0,67.25,327.0,326.25,385.5,44.75,50.25,459.25,320.25,81.75,44.75,385.5,420.0,440.25,376.0,411.5,112.0,62.5
13,Red,77.5,53.25,352.5,284.5,29.75,89.0,307.25,23.0,290.5,302.75,314.75,94.75,306.25,250.5,97.5,312.5,39.0,369.0,125.0,365.5,36.25,249.0,42.25,294.5,317.0,25.5,316.75,69.5,283.5,30.5,43.75,347.25,306.75,286.25,271.25,30.5,328.75,325.5,66.5,325.25,290.0,319.25,273.5,332.5,284.75,313.5,262.75,309.0,311.25,294.75,311.0,69.25,28.75,273.75,261.5,333.0,20.5,22.25,322.0,270.75,33.5,17.75,324.25,323.0,326.5,346.75,331.75,69.0,30.0
13,White,353.25,302.25,965.5,839.75,199.75,364.3333333333333,950.5,132.0,807.75,857.0,898.0,383.0,871.25,675.75,420.25,871.25,206.5,948.0,466.0,951.75,193.0,707.75,234.0,793.5,921.0,156.0,897.25,360.25,833.0,192.0,210.0,952.25,917.0,787.5,737.5,186.25,953.75,948.5,304.5,870.25,823.25,917.25,787.25,952.5,799.75,865.5,772.75,867.0,863.75,776.75,852.0,322.25,156.75,775.5,768.5,905.75,108.5,132.5,955.75,800.0,208.5,105.75,929.0,927.25,949.75,905.25,937.75,330.0,151.5
14,Black,5.5,6.5,5.75,6.75,5.5,8.333333333333334,5.5,5.5,8.5,5.25,7.5,12.75,5.25,7.25,12.5,11.75,13.25,14.75,7.75,25.0,6.25,7.5,6.75,7.25,6.75,6.75,9.25,4.0,8.5,5.5,12.25,9.0,8.0,15.75,5.75,5.5,5.0,9.25,5.75,15.0,5.5,6.25,6.0,8.25,16.0,8.0,6.75,5.0,5.25,15.25,15.5,10.75,12.0,6.5,7.75,17.0,5.75,5.75,7.0,6.0,5.25,5.0,6.5,17.25,6.75,15.0,17.0,11.5,10.5
14,Blue,128.25,128.0,334.0,268.0,98.25,142.66666666666666,295.25,70.5,243.5,238.25,270.0,153.0,241.75,184.5,147.5,264.25,105.75,292.0,152.25,306.25,87.5,200.75,102.0,222.75,286.0,83.0,265.25,140.75,237.0,94.5,99.25,308.75,265.75,238.0,198.0,92.5,306.25,283.75,122.5,268.75,243.25,276.5,232.5,290.0,239.0,253.5,225.5,236.75,236.75,233.25,261.75,108.25,84.25,216.25,224.25,278.25,55.5,70.25,316.25,249.0,95.5,55.5,294.75,280.0,292.0,276.0,301.25,109.75,79.5
