N10_blank.csv,N10_NoR.csv,N4_blank.csv,N10_WR.csv,N2_blank.csv,N2_W.csv,N8_blank.csv,N8_NoR.csv,N6_R.csv,N2_A.csv,N4_R.csv,N2_B.csv,N6_B.csv,N4_W.csv,N4_A.csv,N2_R.csv,N6_A.csv,N4_B.csv,N6_W.csv,N8_B.csv,N6_WR.csv,N10_W.csv,N10_A.csv,N8_A.csv,N10_B.csv,N8_W.csv,N6_blank.csv,N4_NoR.csv,N8_R.csv,N4_WR.csv,BG_1.csv,N8_WR.csv,N10_R.csv,BG_0.csv,N6_NoR.csv,N2_WR.csv
273.0,317.75,273.0,320.5,278.25,370.75,274.75,336.0,314.25,312.75,321.0,299.25,269.0,332.5,290.0,330.75,258.0,290.75,338.5,258.25,335.5,309.75,239.5,273.75,228.5,338.75,281.5,328.75,320.25,318.0,310.0,325.75,281.0,311.25,334.75,337.25
774.0,887.25,775.75,924.0,797.75,954.5,762.5,937.25,631.75,715.0,740.75,674.25,483.25,940.5,586.25,822.5,567.5,586.75,948.5,424.75,934.25,765.25,379.0,466.75,380.25,941.0,762.25,930.25,611.75,912.0,865.75,913.25,469.75,866.5,927.0,927.75
3.75,3.25,4.25,3.0,5.75,5.5,3.75,3.5,3.25,4.5,4.5,4.25,4.25,4.0,4.75,4.0,4.5,4.25,3.75,4.25,4.0,3.0,4.75,4.75,4.25,3.0,4.5,4.25,3.0,4.75,5.25,3.0,3.25,5.5,3.75,4.75
210.5,239.0,212.75,259.25,220.25,288.75,205.75,265.5,84.75,135.25,122.75,120.0,55.5,288.0,89.5,161.5,92.5,86.25,297.5,39.0,271.5,192.5,30.0,44.0,34.75,272.0,211.0,272.25,62.75,257.5,237.0,242.5,42.25,235.5,276.75,253.75
329.5,383.5,331.75,408.25,343.0,456.0,320.0,413.5,252.25,291.25,327.0,286.0,177.5,416.5,233.0,370.25,229.75,234.25,415.0,150.25,394.25,294.5,120.25,167.25,124.5,416.25,312.0,399.5,247.75,399.5,371.5,395.5,164.25,369.75,382.5,411.75
274.75,315.0,272.5,320.25,282.5,367.75,274.5,335.25,314.5,313.5,320.25,298.75,267.0,330.25,292.5,330.75,259.75,288.5,338.25,256.25,336.25,311.75,238.75,270.5,231.0,342.5,284.25,329.0,315.75,318.0,310.0,326.75,281.75,311.5,338.0,338.0
775.0,889.25,774.5,924.25,797.75,954.0,764.0,935.5,629.75,713.0,740.25,677.75,483.75,943.25,590.0,823.5,566.0,584.75,947.0,430.25,931.5,767.0,377.5,465.75,378.25,944.25,761.5,927.0,610.5,914.5,864.5,912.25,467.75,864.0,930.5,931.75
3.5,3.5,4.75,3.0,5.5,6.0,3.0,3.0,4.0,4.0,4.25,4.0,4.5,4.25,5.0,4.25,4.0,4.75,3.75,4.5,3.5,3.25,4.25,4.5,4.0,3.5,4.0,4.0,3.25,4.25,5.25,3.75,3.25,5.75,3.5,5.25
211.75,240.0,213.25,256.75,221.5,288.75,207.75,266.0,85.0,134.75,123.5,118.75,55.25,287.5,89.25,163.5,93.75,86.75,297.25,39.25,272.25,195.25,30.0,43.0,34.5,271.0,208.75,271.75,64.25,255.5,236.75,243.5,41.0,237.25,276.25,254.0
330.25,382.5,328.75,405.75,343.5,455.75,322.25,415.5,248.5,294.25,328.75,287.25,177.0,414.75,233.5,370.5,233.25,232.75,415.25,148.25,393.75,296.25,119.0,169.25,124.5,417.5,314.75,395.75,250.0,399.5,370.0,393.5,165.5,369.25,386.25,409.0
272.75,313.75,273.75,318.0,278.25,369.0,275.75,335.75,316.25,312.25,322.5,300.25,269.5,331.25,290.0,329.5,259.0,290.0,341.5,254.0,333.25,307.75,239.5,271.5,229.25,338.5,280.5,326.0,319.25,322.0,310.5,328.75,277.75,311.25,337.25,336.5
775.5,888.25,774.75,924.25,796.5,955.25,763.75,939.75,631.0,712.5,740.25,679.5,483.0,942.25,588.25,819.5,563.0,588.5,947.25,427.25,933.25,762.0,378.0,466.75,378.25,943.75,768.5,930.75,609.5,910.75,865.75,909.5,471.5,866.25,930.0,931.0
3.0,3.0,4.5,3.25,5.5,6.0,3.25,3.5,3.75,4.25,4.0,4.0,4.25,4.25,5.0,4.25,4.0,4.5,4.0,4.75,4.25,3.25,4.25,4.75,4.25,3.75,4.0,4.0,3.25,5.0,5.25,3.0,3.0,5.5,3.75,5.5
211.75,241.75,211.75,256.75,221.5,291.0,204.5,264.25,83.5,136.25,121.75,120.75,54.0,287.0,91.25,164.0,92.5,84.5,296.5,38.25,269.5,191.75,29.75,42.25,36.5,272.0,211.5,271.75,62.5,255.75,237.0,243.0,42.25,238.25,277.0,251.25
330.5,380.25,329.0,409.0,343.25,456.0,319.25,415.5,250.5,295.25,330.25,287.75,176.0,412.75,233.25,370.25,231.5,232.75,416.75,151.25,394.0,296.5,119.75,169.5,124.0,421.0,311.75,397.5,247.5,398.25,373.25,396.75,167.5,371.75,385.5,411.25
276.5,313.25,273.75,320.0,279.75,369.75,274.25,336.0,317.0,313.5,320.75,296.5,269.75,332.75,292.0,334.25,259.25,286.25,339.25,254.0,333.75,307.5,239.0,268.75,232.0,337.0,280.0,328.5,319.5,321.75,312.0,331.25,277.25,312.0,336.0,336.0
776.25,889.0,775.75,927.5,795.75,955.75,764.0,941.0,631.25,710.5,740.25,678.25,481.75,944.25,591.0,823.25,564.75,586.0,947.0,427.0,930.25,765.0,376.75,468.25,383.0,942.0,766.25,930.25,610.5,914.5,865.5,909.75,471.0,866.5,927.5,933.25
3.5,3.25,4.25,3.25,6.0,5.5,3.0,3.0,3.0,4.25,4.5,4.25,4.5,4.75,5.0,4.25,4.75,5.0,4.0,4.5,3.75,3.5,4.25,4.25,4.25,3.25,4.0,4.25,3.25,4.75,5.0,3.5,3.25,5.25,3.5,4.75
211.25,238.0,212.25,258.75,218.0,291.5,208.5,264.25,85.25,136.5,124.25,122.5,55.5,286.0,91.75,162.25,94.75,85.25,296.75,38.0,271.25,193.75,31.5,43.75,34.5,269.5,210.5,271.25,62.25,256.75,237.5,243.25,40.25,238.0,273.5,253.25
327.25,380.25,331.75,409.25,342.5,456.25,318.0,413.5,251.25,295.25,332.75,288.75,176.0,416.0,231.25,368.25,232.0,234.0,415.75,147.75,392.0,298.25,121.75,167.75,124.0,417.75,314.0,396.0,248.25,400.0,370.75,396.25,164.5,368.5,385.0,409.25
272.75,313.75,272.25,319.5,279.5,368.5,277.5,335.25,315.0,310.5,318.75,298.75,266.75,330.0,291.0,332.0,263.0,286.25,340.0,252.75,337.0,308.0,237.0,270.5,230.25,335.5,278.75,328.5,320.0,321.0,310.25,328.75,277.25,311.25,338.75,337.25
772.25,887.0,777.5,925.75,798.0,955.25,764.25,940.25,630.0,711.0,744.25,680.0,484.0,944.5,589.5,824.5,569.25,585.25,946.5,424.25,931.25,765.75,375.75,464.75,377.75,942.5,764.25,929.75,606.5,909.25,866.25,908.5,473.75,865.5,931.5,931.0
3.5,3.25,4.5,3.25,5.25,5.75,3.25,3.5,3.25,4.0,4.75,4.25,4.5,4.5,5.25,3.75,4.0,4.0,4.0,4.5,4.0,3.0,4.0,4.25,4.0,3.25,4.0,4.5,3.25,4.0,5.25,3.5,3.25,5.25,3.5,5.0
213.25,239.25,213.0,258.0,220.0,290.25,206.75,264.25,83.5,136.0,124.25,122.25,54.75,289.5,90.25,163.0,94.25,87.75,299.0,38.25,269.0,193.75,29.25,42.5,34.5,269.5,207.5,275.25,63.25,257.25,239.0,242.5,42.25,238.75,277.0,251.75
