dataset,sample_name,integration_time_ms,gain,net_intensity_red,net_intensity_green,net_intensity_blue,net_intensity_clear
7_soil_calibration,blankA,24.0,1.0,62.5,52.46666666666667,40.266666666666666,152.4
7_soil_calibration,RER,480.0,1.0,1168.9751773049645,988.1507092198583,1626.1737588652481,3634.4574468085107
7_soil_calibration,C,600.0,1.0,3615.6117021276596,3032.395390070922,3654.1950354609926,9882.79255319149
7_soil_calibration,B,120.0,1.0,822.6724137931035,723.0929989550679,938.7361546499478,2380.077324973877
7_soil_calibration,BLACK,300.0,1.0,796.3084677419355,662.2620967741935,558.6491935483871,1969.1350806451612
7_soil_calibration,D,2.4,1.0,15.0,12.951456310679612,15.951456310679612,42.80582524271845
7_soil_calibration,RED,6144.0,1.0,1870.8333333333333,1611.35,2451.2375,5694.283333333334
7_soil_calibration,B,60.0,1.0,443.48026315789474,391.665350877193,510.8271929824561,1288.3754385964912
7_soil_calibration,blankA,24.0,1.0,60.0,51.0,38.25,146.0
7_soil_calibration,BLACK,2.4,1.0,8.0,7.0,5.0,19.0
7_soil_calibration,D,300.0,1.0,1578.0753968253969,1343.640873015873,1716.6458333333333,4450.2390873015875
7_soil_calibration,blankA,24.0,1.0,61.8780487804878,52.0,41.09756097560975,151.90243902439025
7_soil_calibration,RED,6144.0,1.0,1949.240174672489,1674.6113537117903,2522.1353711790393,5901.733624454148
7_soil_calibration,C,2.4,1.0,19.0,16.0,19.0,52.142857142857146
7_soil_calibration,E,120.0,1.0,734.8721518987342,637.1506329113924,819.0797468354431,2103.3462025316458
7_soil_calibration,RER,154.0,1.0,426.97008547008545,361.94871794871796,600.4957264957266,1334.534188034188
7_soil_calibration,RER,101.0,1.0,322.5879746835443,273.0303797468355,459.1183544303797,1013.2949367088609
7_soil_calibration,blank,420.0,1.0,928.1190476190476,752.4232804232804,479.96296296296293,2129.214285714286
7_soil_calibration,RER,180.0,1.0,534.5790297339594,453.6830985915493,758.7793427230047,1678.817683881064
7_soil_calibration,C,300.0,1.0,1961.4474206349207,1654.532738095238,1980.2916666666667,5369.337301587301
7_soil_calibration,blank,614.0,1.0,1222.1000000000001,986.0333333333333,622.5555555555555,2790.7222222222226
7_soil_calibration,B,24.0,1.0,181.03846153846155,160.03846153846155,208.99925317401045,526.6041822255414
7_soil_calibration,A,199.0,1.0,1045.005063291139,878.7278481012659,987.5158227848101,2798.359493670886
7_soil_calibration,RER,360.0,1.0,930.0844155844156,786.1116883116883,1306.835064935065,2904.2753246753246
7_soil_calibration,B,300.0,1.0,1892.2619047619048,1658.3948412698412,2158.1478174603176,5469.139880952381
7_soil_calibration,BLACK,120.0,1.0,364.5833333333333,304.56538461538463,259.6846153846154,907.0269230769231
7_soil_calibration,A,180.0,1.0,947.9367088607595,794.6556962025317,898.5474683544304,2538.150632911392
7_soil_calibration,Blank,24.0,1.0,57.188235294117646,49.0,0.0,102.44212523719165
7_soil_calibration,RER,199.0,1.0,573.1032863849765,484.66040688575896,813.9820031298905,1798.1275430359935
7_soil_calibration,BLACK,2.4,1.0,7.967741935483871,7.0,5.0,19.870967741935484
7_soil_calibration,E,24.0,1.0,154.15384615384616,134.0,171.0874811463047,441.05052790346906
